Season,Name,ERA,K9,BB9,HR9
2017,Jeff Samardzija,4.42,8.88,1.39,1.3
2015,Sonny Gray,2.73,7.31,2.55,0.74
2012,Hiroki Kuroda,3.32,6.84,2.09,1.02
2012,Matt Cain,2.79,7.92,2.09,0.86
2010,Ricky Romero,3.73,7.46,3.51,0.64
2010,Max Scherzer,3.5,8.46,3.22,0.92
2015,Francisco Liriano,3.38,9.88,3.38,0.72
2015,Gio Gonzalez,3.79,8.66,3.54,0.41
2011,Matt Harrison,3.39,6.11,2.76,0.63
2015,Collin McHugh,3.89,7.56,2.34,0.84
2013,Jordan Zimmermann,3.25,6.79,1.69,0.8
2013,Hiroki Kuroda,3.31,6.71,1.92,0.89
2013,Lance Lynn,3.97,8.84,3.39,0.62
2013,Hyun-Jin Ryu,3,7.22,2.3,0.7
2014,Dallas Keuchel,2.92,6.57,2.16,0.49
2012,Kyle Lohse,2.86,6.1,1.62,0.81
2016,Jon Gray,4.61,9.91,3.16,0.96
2015,John Lackey,2.77,7.22,2.19,0.87
2016,Marcus Stroman,4.37,7.32,2.38,0.93
2010,Wandy Rodriguez,3.6,8.22,3.14,0.74
2010,Shaun Marcum,3.64,7.6,1.98,1.11
2011,Yovani Gallardo,3.52,8.99,2.56,1.17
2011,Shaun Marcum,3.54,7.09,2.56,0.99
2012,Jarrod Parker,3.47,6.95,3.13,0.55
2011,Edwin Jackson,3.79,6.67,2.79,0.72
2017,Yu Darvish,3.86,10.08,2.8,1.3
2017,Michael Fulmer,3.83,6.23,2.19,0.71
2013,Justin Masterson,3.45,9.09,3.54,0.61
2013,Mike Minor,3.21,7.96,2.02,0.97
2011,Anibal Sanchez,3.67,9.26,2.93,0.92
2013,Jose Quintana,3.51,7.38,2.52,1.03
2013,Patrick Corbin,3.41,7.69,2.33,0.82
2010,Cole Hamels,3.06,9.1,2.63,1.12
2013,Jon Lester,3.75,7.47,2.83,0.8
2010,Johan Santana,2.98,6.51,2.49,0.72
2014,Ian Kennedy,3.63,9.27,3.13,0.72
2014,Lance Lynn,2.74,8,3.18,0.57
2011,Jaime Garcia,3.56,7.21,2.31,0.69
2015,Shelby Miller,3.02,7.5,3.2,0.57
2015,J.A. Happ,3.61,7.9,2.35,0.84
2015,Carlos Martinez,3.01,9.22,3.16,0.65
2012,Anibal Sanchez,3.86,7.68,2.21,0.92
2011,Tim Hudson,3.22,6.61,2.34,0.59
2017,Marcus Stroman,3.09,7.34,2.78,0.94
2013,Ubaldo Jimenez,3.3,9.56,3.94,0.79
2014,Hiroki Kuroda,3.71,6.6,1.58,0.9
2011,Jordan Zimmermann,3.18,6.92,1.73,0.67
2015,Kyle Hendricks,3.95,8.35,2.15,0.85
2013,Zack Greinke,2.63,7.5,2.33,0.66
2010,Dallas Braden,3.5,5.28,2.01,0.79
2017,Carlos Martinez,3.64,9.53,3.12,1.19
2010,Chris Carpenter,3.22,6.86,2.41,0.8
2013,Stephen Strasburg,3,9.39,2.75,0.79
2016,Carlos Martinez,3.04,8.02,3.23,0.69
2011,Josh Beckett,2.89,8.16,2.42,0.98
2011,Alexi Ogando,3.51,6.71,2.29,0.85
2017,Gio Gonzalez,2.96,8.42,3.54,0.94
2016,Kenta Maeda,3.48,9.17,2.56,1.02
2012,Jordan Zimmermann,2.94,7.04,1.98,0.83
2010,John Lackey,4.35,6.53,3.01,0.75
2016,Jeremy Hellickson,3.71,7.33,2.14,1.14
2011,Mark Buehrle,3.59,4.78,1.97,0.92
2014,James Shields,3.21,7.14,1.74,0.91
2017,Michael Wacha,4.13,8.58,2.99,0.92
2011,Gavin Floyd,4.37,7.02,2.09,1.02
